,Converted_Datetime,Rate,DayofWeek,rowinpriceoffutures,Day before,Day after,Ratedaybefore,Ratedayafter,Rate Changes,difference,difference type 2,difference type 3
47,2014-07-29,0.125,1,6496,2014-07-28,2014-07-30,99.904,99.902,0.0,-0.001999999999995339,-0.003999999999990678,-0.001999999999995339
48,2014-06-17,0.125,1,6467,2014-06-16,2014-06-18,99.9,99.9,0.0,0.0,0.007999999999981355,0.006000000000000227
49,2014-04-29,0.125,1,6433,2014-04-28,2014-04-30,99.90799999999999,99.906,0.0,-0.001999999999981128,0.012000000000014666,0.013999999999995794
50,2014-03-18,0.125,1,6404,2014-03-17,2014-03-19,99.92,99.92,0.0,0.0,0.0,-0.0040000000000048885
51,2014-01-28,0.125,1,6370,2014-01-27,2014-01-29,99.92,99.916,0.0,-0.0040000000000048885,-0.0049999999999954525,-0.000999999999990564
52,2013-12-17,0.125,1,6343,2013-12-16,2013-12-18,99.915,99.915,0.0,0.0,0.0,0.0
53,2013-10-29,0.125,1,6309,2013-10-28,2013-10-30,99.915,99.915,0.0,0.0,-0.005000000000009663,-0.005000000000009663
54,2013-09-18,0.125,2,6280,2013-09-17,2013-09-19,99.91,99.91,0.0,0.0,-0.012000000000000455,-0.013999999999995794
55,2013-07-30,0.125,1,6245,2013-07-29,2013-07-31,99.898,99.896,0.0,-0.001999999999995339,-0.0030000000000001137,-0.006000000000000227
56,2013-06-18,0.125,1,6216,2013-06-17,2013-06-19,99.895,99.89,0.0,-0.0049999999999954525,-0.01999999999999602,-0.015000000000000568
57,2013-04-30,0.125,1,6182,2013-04-29,2013-05-01,99.875,99.875,0.0,0.0,-0.015000000000000568,-0.01999999999999602
58,2013-03-19,0.125,1,6153,2013-03-18,2013-03-20,99.86,99.855,0.0,-0.0049999999999954525,0.0,0.01099999999999568
59,2013-01-29,0.125,1,6119,2013-01-28,2013-01-30,99.86,99.866,0.0,0.006000000000000227,0.0,-0.006000000000000227
60,2012-12-11,0.125,1,6087,2012-12-10,2012-12-12,99.86,99.86,0.0,0.0,-0.0049999999999954525,-0.0049999999999954525
61,2012-10-23,0.125,1,6053,2012-10-22,2012-10-24,99.855,99.855,0.0,0.0,0.015000000000000568,0.015000000000000568
62,2012-09-12,0.125,2,6024,2012-09-11,2012-09-13,99.87,99.87,0.0,0.0,-0.010000000000005116,-0.010000000000005116
63,2012-07-31,0.125,1,5994,2012-07-30,2012-08-01,99.86,99.86,0.0,0.0,-0.025000000000005684,-0.030000000000001137
64,2012-06-19,0.125,1,5965,2012-06-18,2012-06-20,99.835,99.83,0.0,-0.0049999999999954525,0.0350000000000108,0.030000000000001137
65,2012-04-24,0.125,1,5926,2012-04-23,2012-04-25,99.87,99.86,0.0,-0.010000000000005116,0.009999999999990905,0.01999999999999602
66,2012-03-13,0.125,1,5897,2012-03-12,2012-03-14,99.88,99.88,0.0,0.0,0.04000000000000625,0.04000000000000625
67,2012-01-24,0.125,1,5863,2012-01-23,2012-01-25,99.92,99.92,0.0,0.0,-0.010000000000005116,0.0
68,2011-12-13,0.125,1,5836,2011-12-12,2011-12-14,99.91,99.92,0.0,0.010000000000005116,0.010000000000005116,0.0
69,2011-11-01,0.125,1,5807,2011-10-31,2011-11-02,99.92,99.92,0.0,0.0,0.010000000000005116,-0.010000000000005116
70,2011-09-20,0.125,1,5777,2011-09-19,2011-09-21,99.93,99.91,0.0,-0.020000000000010232,-0.015000000000000568,0.005000000000009663
71,2011-08-09,0.125,1,5748,2011-08-08,2011-08-10,99.915,99.915,0.0,0.0,-0.025000000000005684,-0.015000000000000568
72,2011-06-22,0.125,2,5715,2011-06-21,2011-06-23,99.89,99.9,0.0,0.010000000000005116,0.0,-0.013999999999995794
73,2011-04-26,0.125,1,5675,2011-04-25,2011-04-27,99.89,99.88600000000001,0.0,-0.003999999999990678,-0.030000000000001137,-0.02600000000001046
74,2011-03-15,0.125,1,5646,2011-03-14,2011-03-16,99.86,99.86,0.0,0.0,-0.030000000000001137,-0.028999999999996362
75,2011-01-25,0.125,1,5612,2011-01-24,2011-01-26,99.83,99.831,0.0,0.0010000000000047748,-0.0049999999999954525,-0.006000000000000227
76,2010-12-14,0.125,1,5584,2010-12-13,2010-12-15,99.825,99.825,0.0,0.0,-0.005000000000009663,-0.005000000000009663
77,2010-11-02,0.125,1,5555,2010-11-01,2010-11-03,99.82,99.82,0.0,0.0,-0.014999999999986358,-0.009999999999990905
78,2010-09-21,0.125,1,5525,2010-09-20,2010-09-22,99.805,99.81,0.0,0.0049999999999954525,0.01999999999999602,0.015000000000000568
79,2010-08-10,0.125,1,5496,2010-08-09,2010-08-11,99.825,99.825,0.0,0.0,-0.030000000000001137,-0.025000000000005684
80,2010-06-23,0.125,2,5463,2010-06-22,2010-06-24,99.795,99.8,0.0,0.0049999999999954525,-0.010000000000005116,-0.021000000000000796
81,2010-04-27,0.125,1,5423,2010-04-26,2010-04-28,99.785,99.779,0.0,-0.006000000000000227,0.025000000000005684,0.03100000000000591
82,2010-03-16,0.125,1,5393,2010-03-15,2010-03-17,99.81,99.81,0.0,0.0,0.05499999999999261,0.04899999999999238
83,2010-01-26,0.125,1,5359,2010-01-25,2010-01-27,99.865,99.859,0.0,-0.006000000000000227,-0.01999999999999602,-0.003999999999990678
84,2009-12-15,0.125,1,5332,2009-12-14,2009-12-16,99.845,99.855,0.0,0.010000000000005116,0.010000000000005116,0.0
85,2009-11-03,0.125,1,5303,2009-11-02,2009-11-04,99.855,99.855,0.0,0.0,-0.030000000000001137,-0.025000000000005684
86,2009-09-22,0.125,1,5273,2009-09-21,2009-09-23,99.825,99.83,0.0,0.0049999999999954525,-0.015000000000000568,-0.010000000000005116
87,2009-08-11,0.125,1,5244,2009-08-10,2009-08-12,99.81,99.82,0.0,0.009999999999990905,-0.030000000000001137,-0.03999999999999204
88,2009-06-23,0.125,1,5210,2009-06-22,2009-06-24,99.78,99.78,0.0,0.0,0.03299999999998704,0.03100000000000591
89,2009-04-28,0.125,1,5171,2009-04-27,2009-04-29,99.81299999999999,99.811,0.0,-0.001999999999981128,-0.042999999999992156,-0.03100000000000591
90,2009-03-17,0.125,1,5142,2009-03-16,2009-03-18,99.77,99.78,0.0,0.010000000000005116,0.015000000000000568,-0.0010000000000047748
91,2009-01-28,0.125,2,5109,2009-01-27,2009-01-29,99.785,99.779,0.0,-0.006000000000000227,-0.11499999999999488,0.036000000000001364
92,2008-12-16,0.125,1,5081,2008-12-15,2008-12-17,99.67,99.815,-0.875,0.14499999999999602,-0.5450000000000017,-0.46699999999999875
93,2008-10-29,1.0,2,5048,2008-10-28,2008-10-30,99.125,99.348,-0.5,0.22299999999999898,-0.5450000000000017,-0.6230000000000047
94,2008-10-08,1.5,2,5033,2008-10-07,2008-10-09,98.58,98.725,-0.5,0.14499999999999602,-0.4099999999999966,-0.4449999999999932
95,2008-09-16,2.0,1,5017,2008-09-15,2008-09-17,98.17,98.28,0.0,0.10999999999999943,-0.21000000000000796,-0.3100000000000023
96,2008-08-05,2.0,1,4988,2008-08-04,2008-08-06,97.96,97.97,0.0,0.010000000000005116,0.015000000000000568,0.0020000000000095497
97,2008-06-24,2.0,1,4959,2008-06-23,2008-06-25,97.975,97.97200000000001,0.0,-0.002999999999985903,-0.018999999999991246,0.042999999999992156
98,2008-04-30,2.0,2,4921,2008-04-29,2008-05-01,97.956,98.015,-0.25,0.0589999999999975,0.09900000000000375,-0.1700000000000017
99,2008-03-18,2.25,1,4891,2008-03-17,2008-03-19,98.055,97.845,-0.75,-0.21000000000000796,-0.17500000000001137,0.21000000000000796
100,2008-03-16,3.0,6,4889,2008-03-14,2008-03-17,97.88,98.055,0.0,0.17500000000001137,-0.8689999999999856,-0.8500000000000085
101,2008-01-30,3.0,2,4858,2008-01-29,2008-01-31,97.01100000000001,97.205,-0.5,0.1939999999999884,-0.5810000000000031,-0.14499999999999602
102,2008-01-22,3.5,1,4852,2008-01-18,2008-01-23,96.43,97.06,-0.75,0.6299999999999955,-0.6100000000000136,-1.2450000000000045
