date, value
4/16/2014,99.915
4/17/2014,99.915
4/21/2014,99.915
4/22/2014,99.915
4/23/2014,99.91
4/24/2014,99.91
4/25/2014,99.909
4/28/2014,99.908
4/29/2014,99.907
4/30/2014,99.906
5/1/2014,99.905
5/2/2014,99.905
5/5/2014,99.905
5/6/2014,99.905
5/7/2014,99.905
5/8/2014,99.905
5/9/2014,99.905
5/12/2014,99.91
5/13/2014,99.91
5/14/2014,99.91
5/15/2014,99.91
5/16/2014,99.91
5/19/2014,99.91
5/20/2014,99.91
5/21/2014,99.91
5/22/2014,99.91
5/23/2014,99.91
5/27/2014,99.909
5/28/2014,99.908
5/29/2014,99.907
5/30/2014,99.906
6/2/2014,99.905
6/3/2014,99.905
6/4/2014,99.905
6/5/2014,99.905
6/6/2014,99.905
6/9/2014,99.905
6/10/2014,99.905
6/11/2014,99.905
6/12/2014,99.905
6/13/2014,99.905
6/16/2014,99.9
6/17/2014,99.9
6/18/2014,99.9
6/19/2014,99.9
6/20/2014,99.9
6/23/2014,99.9
6/24/2014,99.9
6/25/2014,99.899
6/26/2014,99.896
6/27/2014,99.894
6/30/2014,99.892
7/1/2014,99.89
7/2/2014,99.895
7/3/2014,99.895
7/7/2014,99.9
7/8/2014,99.9
7/9/2014,99.9
7/10/2014,99.905
7/11/2014,99.905
7/14/2014,99.905
7/15/2014,99.905
7/16/2014,99.905
7/17/2014,99.905
7/18/2014,99.905
7/21/2014,99.905
7/22/2014,99.905
7/23/2014,99.905
7/24/2014,99.905
7/25/2014,99.905
7/28/2014,99.904
7/29/2014,99.903
7/30/2014,99.902
7/31/2014,99.901
8/1/2014,99.9
8/4/2014,99.9
8/5/2014,99.9
8/6/2014,99.905
8/7/2014,99.905
8/8/2014,99.905
8/11/2014,99.905
8/12/2014,99.905
8/13/2014,99.905
8/14/2014,99.905
8/15/2014,99.91
8/18/2014,99.91
8/19/2014,99.91
8/20/2014,99.91
8/21/2014,99.91
8/22/2014,99.91
8/25/2014,99.91
8/26/2014,99.91
8/27/2014,99.91
8/28/2014,99.91
8/29/2014,99.91
9/2/2014,99.91
9/3/2014,99.91
9/4/2014,99.91
9/5/2014,99.91
9/8/2014,99.91
9/9/2014,99.91
9/10/2014,99.91
9/11/2014,99.91
9/12/2014,99.91
9/15/2014,99.91
9/16/2014,99.91
9/17/2014,99.91
9/18/2014,99.91
9/19/2014,99.91
9/22/2014,99.91
9/23/2014,99.91
9/24/2014,99.91
9/25/2014,99.91
9/26/2014,99.91
9/29/2014,99.91
9/30/2014,99.91
10/1/2014,99.91
10/2/2014,99.91
10/3/2014,99.91
10/6/2014,99.91
10/7/2014,99.915
10/8/2014,99.915
10/9/2014,99.915
10/10/2014,99.915
10/13/2014,99.915
10/14/2014,99.915
10/15/2014,99.915
10/16/2014,99.915
10/17/2014,99.915
10/20/2014,99.915
10/21/2014,99.915
10/22/2014,99.915
10/23/2014,99.915
10/24/2014,99.915
10/27/2014,99.915
10/28/2014,99.915
10/29/2014,99.906
10/30/2014,99.904
10/31/2014,99.902
11/3/2014,99.9
11/4/2014,99.9
11/5/2014,99.9
11/6/2014,99.9
11/7/2014,99.9
11/10/2014,99.895
11/11/2014,99.895
11/12/2014,99.895
11/13/2014,99.895
11/14/2014,99.895
11/17/2014,99.895
11/18/2014,99.895
11/19/2014,99.89
11/20/2014,99.89
11/21/2014,99.89
11/24/2014,99.89
11/25/2014,99.89
11/26/2014,99.89
11/28/2014,99.89
12/1/2014,99.89
12/2/2014,99.89
12/3/2014,99.89
12/4/2014,99.89
12/5/2014,99.885
12/8/2014,99.885
12/9/2014,99.885
12/10/2014,99.89
12/11/2014,99.89
12/12/2014,99.89
12/15/2014,99.89
12/16/2014,99.89
12/17/2014,99.885
12/18/2014,99.88
12/19/2014,99.88
12/22/2014,99.88
12/23/2014,99.88
12/24/2014,99.88
12/26/2014,99.879
12/29/2014,99.878
12/30/2014,99.877
